country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
USA,16073813,41419,300195,671,9340223,215281688,331865090
India,9814064,17072,142417,195,9309031,151632223,1386012075
Brazil,6783543,,179801,,5931777,25700000,213230064
Russia,2597711,28585,45893,613,2059840,81564365,145962393
France,2337966,,56940,,174658,28282874,65337886
UK,1787783,,63082,,N/A,46730999,68044545
Italy,1787147,,62626,,1027994,23676174,60422081
Turkey,1748567,,15751,,1154333,20500579,84740585
Spain,1734386,,47344,,N/A,24101272,46762862
Argentina,1482216,,40431,,1318187,4173392,45379520
Colombia,1399911,,38484,,1296420,6915466,51122861
Germany,1285308,14876,21533,300,942100,30494036,83903248
Mexico,1217126,11897,112326,671,896130,3118237,129532213
Poland,1115201,13110,22174,544,815356,6620376,37828086
Iran,1092407,9384,51727,232,787853,6611783,84467718
Peru,979111,,36499,,914600,5217086,33174480
Ukraine,872228,13514,14755,285,480348,4957299,43615882
South Africa,836764,,22747,,756671,5735470,59638974
Indonesia,605243,6310,18511,175,496886,6200252,274803482
Belgium,600397,2754,17692,89,40789,6231437,11612063
Netherlands,594523,8838,9966,64,N/A,5077285,17151770
Iraq,572600,1347,12549,23,503897,3837024,40617505
Czechia,569205,5864,9341,57,497828,3294949,10717838
Chile,567974,1534,15782,8,541345,5686946,19188940
Romania,545567,6460,13116,168,443168,4386813,19180085
Bangladesh,487849,1884,6986,19,414318,2944252,165415819
Philippines,447039,1504,8709,8,409329,6154475,110224876
Canada,443917,1848,13154,45,357488,12317829,37888820
Pakistan,432327,3047,8653,50,379092,5948742,222774877
Morocco,391529,,6492,,345934,4141842,37103931
Switzerland,373831,5136,5888,64,288400,3019837,8682709
Saudi Arabia,359583,168,6023,11,350108,10316632,35052696
Israel,353269,872,2969,8,333900,5605071,
Portugal,340287,5080,5373,95,263648,4899189,10183403
Sweden,320098,,7514,18,N/A,3718476,10127237
Austria,316581,2893,4289,126,273503,3355391,9029235
Hungary,271200,6197,6622,171,78700,2245483,9649376
Serbia,255758,6534,2227,55,31536,2000098,8721606
Jordan,255459,2338,3286,36,209746,2797026,10247981
Nepal,246694,1044,1674,11,232872,1820618,29367131
Ecuador,200379,,13850,,174188,682858,17761108
Panama,185424,,3287,,157888,1020898,4344682
Georgia,183099,4146,1694,37,150461,1667615,3985743
UAE,182601,1196,607,5,162435,18118955,9943209
Bulgaria,174568,,5405,,75232,1049830,6924950
Japan,171542,2969,2502,37,145014,3945830,126303155
Croatia,168388,4396,2484,64,140898,861401,4093907
Azerbaijan,167155,4381,1840,47,103550,1918866,10179673
Belarus,156359,1967,1246,8,133930,3548306,9447935
Dominican Republic,152452,731,2359,1,118877,778887,10896070
Costa Rica,149815,,1882,,109855,427104,5114728
Bolivia,146385,325,9008,4,125716,374235,11743285
Armenia,146317,1077,2445,29,123474,542394,2965712
Kuwait,145495,,910,,141259,1165434,4298412
Lebanon,142187,,1170,,95737,1745713,6811748
Qatar,140680,164,240,,138194,1159766,
Kazakhstan,139995,836,2088,,124056,4871752,18875968
Guatemala,128541,755,4376,31,117013,575546,18061152
Slovakia,127087,2166,1122,18,93533,1188116,5460822
Oman,125669,,1463,,117327,571472,5163300
Moldova,124264,1579,2521,21,106471,499663,4029769
Greece,122648,1395,3472,102,9989,2557145,10400232
Egypt,120147,,6854,,104281,1000000,103181996
Ethiopia,115360,,1779,,88975,1689299,116207038
Honduras,113207,415,2968,7,50948,282300,9973976
Tunisia,107814,,3758,,82193,499552,11873347
Palestine,106622,1743,931,21,81166,760658,5153273
Venezuela,106280,,938,,101384,2337527,28399883
Myanmar,105863,1376,2220,19,84338,1395088,54571754
Denmark,103564,3075,927,9,76927,8365753,5801283
Bosnia and Herzegovina,99543,940,3250,51,63733,460177,3271662
Slovenia,93737,1816,1998,49,70733,583661,2079066
Kenya,90978,673,1582,14,71579,960364,54289859
Paraguay,90958,,1914,,64527,489070,7171248
Algeria,90579,,2564,,59135,,44199034
Libya,89880,697,1278,5,59839,478198,6912525
Bahrain,88632,,347,,86684,2160368,1727147
Lithuania,86949,3067,764,29,36168,1387528,2705144
Malaysia,80309,1810,402,6,67173,2896938,32549129
Kyrgyzstan,76718,327,1307,1,69341,541098,6571568
Ireland,75203,,2117,,23364,2063450,4962180
Uzbekistan,74664,166,611,,71921,1377915,33683082
Nigeria,71344,,1190,,65474,829743,208370519
North Macedonia,70883,,2051,,47364,357102,2083336
Singapore,58305,8,29,,58192,4834370,5870751
Ghana,52738,,326,,51518,616231,31357228
Afghanistan,48826,73,1949,10,38266,166698,39312001
Albania,46863,802,977,12,24136,212042,2876393
S. Korea,40786,688,572,8,31157,3311213,51288872
El Salvador,40741,,1186,6,37172,572266,6500757
Norway,40194,171,387,5,34463,2421445,5440045
Montenegro,40165,,566,,29054,149825,628101
Luxembourg,40037,,384,,30898,1475746,630461
Sri Lanka,31375,762,146,,22831,971539,21453199
Finland,30073,501,442,,20000,2151221,5544558
Australia,28011,11,908,,25665,10333110,25630685
Uganda,25730,,220,,9605,666328,46367555
Cameroon,24963,,443,,23344,149000,26834366
Latvia,24386,680,319,15,1866,714409,1876806
Ivory Coast,21590,,133,,21203,229493,26663501
Sudan,20468,,1319,,11673,,44296929
Zambia,18161,70,365,1,17329,471542,18608060
Madagascar,17473,,255,,16927,95472,28001580
Estonia,16956,358,142,1,10533,533515,1326933
Senegal,16893,127,345,2,16015,242470,16936300
Mozambique,16680,159,139,,14793,245388,31636589
Namibia,16097,324,160,2,14332,172955,2561127
Angola,15925,,362,,8679,171247,33309915
French Polynesia,15535,,91,,4842,26355,281630
DRC,14169,172,350,,12208,,90743781
Cyprus,13649,,70,,2057,651431,1211259
Guinea,13368,,79,,12598,84951,13287984
Maldives,13308,,47,,12621,263107,544730
Tajikistan,12588,,88,,12009,,9631396
Botswana,12501,,37,,9940,470387,2372452
French Guiana,11677,,71,,9995,88135,302059
Jamaica,11509,66,270,,7667,123577,2966917
Cabo Verde,11203,,109,,10836,106885,558658
Zimbabwe,11081,,305,,9253,189370,14958320
Malta,10980,96,166,2,8935,458737,442067
Mauritania,10268,,210,,7957,108500,4702946
Haiti,9434,,233,,8170,34734,11463948
Gabon,9300,,62,,9155,322361,2248693
Cuba,9181,,136,,8212,1218718,11323528
Belize,8805,,183,,4141,46743,400800
Syria,8787,,476,,4174,,17686381
Uruguay,8487,,90,,5747,490659,3479090
Guadeloupe,8472,,151,,2242,78966,400155
R¨¦union,8345,,41,,7729,48859,898148
Bahamas,7585,,163,,6032,45112,394908
Hong Kong,7378,86,114,,5996,4382709,7523954
Andorra,7190,,78,,6505,173151,77320
Trinidad and Tobago,6833,,122,,6060,38077,1401506
Eswatini,6633,,126,,6221,63144,1165481
Rwanda,6349,,53,,5789,657995,13092413
Malawi,6053,2,186,,5489,77683,19345577
Congo,6049,,99,,4988,,5577404
Nicaragua,5887,,162,,4225,,6659389
Guyana,5811,,154,,4925,33020,788240
Djibouti,5717,,61,,5605,94622,994335
Mali,5576,,184,,3502,112030,20504523
Martinique,5575,,42,,98,67378,375135
Iceland,5539,15,28,,5323,405047,342227
Mayotte,5499,,51,,2964,27129,275691
Suriname,5337,,117,,5218,22493,588961
Equatorial Guinea,5183,,85,,5048,72105,1422952
Aruba,5011,,46,,4865,54368,106968
CAR,4927,,63,,1924,32711,4866694
Somalia,4579,,121,,3529,,16086247
Thailand,4180,11,60,,3903,977854,69878022
Gambia,3779,,123,,3645,26714,2446218
Burkina Faso,3579,,69,,2792,,21152911
Togo,3182,,66,,2714,157992,8363558
South Sudan,3181,,62,,3003,62494,11251738
Benin,3090,,44,,2972,360194,12261663
Guinea-Bissau,2444,,44,,2337,33033,1988334
Sierra Leone,2435,,74,,1847,,8048120
Lesotho,2214,36,44,,1302,27791,2149781
Niger,2126,,80,,1249,50488,24584933
New Zealand,2092,4,25,,2010,1332470,
Yemen,2081,,606,,1383,17404,30113564
San Marino,1908,40,50,1,1555,20986,33963
Channel Islands,1844,,48,,1088,199491,174573
Chad,1739,,102,,1587,,16630887
Liberia,1676,,83,,1358,35957,5109652
Liechtenstein,1466,25,20,1,1296,15808,38177
Vietnam,1391,6,35,,1238,1339465,97726671
Sint Maarten,1201,16,26,,1058,8306,43091
Gibraltar,1070,1,5,,1022,100831,33687
Sao Tome and Principe,1009,,17,,947,7498,220947
Mongolia,905,7,,,384,387484,3301533
Saint Martin,801,,12,,675,7838,38956
Turks and Caicos,768,,6,,740,10171,38948
Taiwan,725,1,7,,595,113962,23835994
Burundi,721,1,1,,640,67818,12044663
Papua New Guinea,720,36,8,1,601,32221,9021444
Monaco,657,,3,,591,51953,39365
Eritrea,656,,,,525,22647,3568076
Comoros,617,,7,,605,,877717
Faeroe Islands,520,1,,,503,174579,48946
Mauritius,515,,10,,478,289552,1272709
Tanzania,509,,21,,183,,60474462
Bhutan,434,1,,,395,214334,775366
Isle of Man,370,,25,,344,19325,85233
Bermuda,364,,9,,229,116258,62175
Cambodia,357,1,,,307,242754,16821050
Cayman Islands,298,,2,,267,55584,66063
Barbados,291,,7,,269,52152,287532
Saint Lucia,274,3,4,1,186,17231,184000
Seychelles,187,3,,,182,5200,98617
Caribbean Netherlands,172,,3,,160,3873,26331
St. Barth,162,,1,,127,5315,9890
Brunei ,152,,3,,147,77829,439334
Antigua and Barbuda,146,,4,,138,5022,98289
St. Vincent Grenadines,94,3,,,81,11720,111097
Dominica,85,,,,76,6175,72066
British Virgin Islands,75,,1,,72,8846,30320
Macao,46,,,,46,4238,653241
Fiji,44,,2,,35,17576,899328
Grenada,43,,,,41,6252,112755
Laos,41,,,,33,83753,7322111
New Caledonia,36,,,,32,18012,286714
Timor-Leste,31,,,,30,14932,1329471
Vatican City,27,,,,15,,802
Saint Kitts and Nevis,26,,,,23,4358,53366
Greenland,19,,,,18,13742,56814
Falkland Islands,17,,,,17,4746,3524
Solomon Islands,17,,,,5,4500,694241
Saint Pierre Miquelon,14,,,,14,2946,5781
Montserrat,13,,1,,12,626,4993
Western Sahara,10,,1,,8,,603753
Anguilla,10,,,,3,2651,15062
Marshall Islands,4,,,,4,,59367
Wallis and Futuna,3,,,,1,1149,11150
Samoa,2,,,,2,,198999
Vanuatu,1,,,,1,,310283
China,86688,15,4634,,81762,160000000,
