date,country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
1,USA,13928377,8339,274555,223,8229735,194980236,331812157
1,India,9478099,14845,137823,164,8906652,141349298,1385641672
1,Brazil,6336278,,173165,,5601804,21900000,213188844
1,Russia,2322056,26402,40464,569,1803467,76755901,145960689
1,France,2222488,,52731,,162281,20618607,65333951
1,Spain,1664945,,45069,,N/A,22992742,46762368
1,UK,1629657,,58448,,N/A,43479023,68034821
1,Italy,1601554,,55576,,757507,21945099,60424501
1,Argentina,1424533,,38730,,1257227,3892522,45368199
1,Colombia,1316806,,36766,,1210489,6429234,51108051
1,Mexico,1113543,6472,105940,285,823586,2866225,129495225
1,Germany,1075702,5939,17047,185,758800,27859242,83895947
1,Poland,999924,9105,17599,449,597589,6275392,37829214
1,Iran,975951,13881,48628,382,677963,6168637,84438345
1,Peru,963605,,35966,,894741,5069698,33161928
1,South Africa,790004,,21535,,731242,5383078,59618545
1,Ukraine,745123,12498,12548,221,355172,4528772,43623023
1,Turkey,638847,,13746,,404727,18592292,84715803
1,Belgium,577345,746,16645,98,37474,5906234,11610688
1,Iraq,554767,2218,12306,48,484570,3512920,40592785
1,Chile,552864,1121,15430,20,528034,5357133,19184462
1,Indonesia,543975,5092,17081,136,454879,5746979,274724505
1,Netherlands,527523,4045,9438,62,N/A,4043482,17150737
1,Czechia,523298,,8295,,451607,3065132,10717297
1,Romania,479634,4272,11530,199,360934,4122192,19183572
1,Bangladesh,467225,2293,6675,31,383224,2788202,165371024
1,Philippines,432925,1298,8418,27,398782,5804014,110185022
1,Pakistan,400482,2458,8091,66,343286,5549779,222657494
1,Canada,379846,1707,12137,7,301345,11475642,37879788
1,Saudi Arabia,357623,263,5907,11,347176,9662314,35037872
1,Morocco,356336,,5846,,305291,3953900,37091981
1,Israel,337422,576,2867,2,323997,5605071,
1,Switzerland,330874,3802,4893,78,250200,2753942,8680983
1,Portugal,300462,2401,4577,72,220877,4353234,10184211
1,Austria,285489,3033,3325,141,227497,3121510,9027833
1,Sweden,260758,,6798,24,N/A,3174798,10125520
1,Nepal,233452,,1529,21,216594,1746330,29352794
1,Jordan,223617,4187,2802,51,162959,2577281,10245216
1,Hungary,221073,3951,4977,154,64802,1653780,9650043
1,Ecuador,192685,,13461,,169804,651702,17753784
1,Serbia,183437,7999,1652,48,31536,1800419,8722563
1,UAE,170149,1289,576,4,155667,16857641,9939944
1,Panama,165806,,3079,,144462,907285,4342825
1,Japan,148694,1934,2139,20,125470,3545916,126313687
